Designation	blues_s	blues_ns	MPI	YSI						
IR129404.B.28.B.4.1	403.2431418	5944.821263	3174.032202	0.067830995						
IR129404.B.29.B.3.1	1362.210163	6185.29133	3773.750747	0.220233792						
IR129404.B.61.B.2.1	948.0689236	6185.320663	3566.694793	0.153277247						
IR129406.B.11.B.1.1	1878.827084	5702.440955	3790.63402	0.329477692						
IR129406.B.11.B.3.1	1610.628859	5454.67257	3532.650715	0.295275076						
IR129406.B.19.B.3.1	1245.76826	6134.231337	3689.999799	0.203084656						
IR129406.B.20.B.3.1	1543.373042	6069.721416	3806.547229	0.254274115						
IR129406.B.34.B.3.1	2007.744388	6037.13029	4022.437339	0.332566019						
IR129406.B.5.B.2.1	2927.311462	4617.968695	3772.640079	0.633895909						
IR129406.B.8.B.2.1	752.2597399	4894.166036	2823.212888	0.153705398						
IR129408.B.17.B.3.1	738.4874303	4599.789665	2669.138548	0.160548087						
IR129408.B.56.B.1.1	1159.954732	6086.845673	3623.400203	0.190567462						
IR129408.B.56.B.3.1	2428.964737	6736.06136	4582.513049	0.360591243						
IR129408.B.57.B.1.1	1363.685132	6995.835801	4179.760467	0.194928122						
IR129408.B.57.B.3.1	2149.266259	5356.111627	3752.688943	0.401273612						
IR129408.B.6.B.2.1	1827.427004	6046.888672	3937.157838	0.302209467						
IR129410.B.10.B.2.1	257.5539145	6955.307549	3606.430732	0.037029838						
IR129410.B.17.B.1.1	1942.878092	6952.723761	4447.800927	0.279441289						
IR129410.B.28.B.1.1	844.9731186	4567.15205	2706.062584	0.185010945						
IR129410.B.3.B.4.1	979.9569303	6923.632573	3951.794752	0.141537974						
IR129411.B.17.B.1.1	2581.585039	6274.344112	4427.964576	0.411450981						
IR129411.B.23.B.4.1	1944.486034	5354.914272	3649.700153	0.363121786						
IR129411.B.29.B.3.1	1948.079658	7396.876288	4672.477973	0.26336518						
IR129411.B.58.B.3.1	3037.444646	6231.295358	4634.370002	0.487449956						
